date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2023-03-09,791.0,810.0,791.0,808.0,1.51,28688.0,23110049.9,2023,39.65,19.8,17.58,30.53
2023-03-12,820.0,822.0,797.0,798.0,-1.24,31706.0,25407342.8,2023,39.65,19.8,17.58,30.53
2023-03-13,800.0,813.0,776.9,777.0,-2.63,79814.0,62456745.3,2023,39.65,19.8,17.58,30.53
2023-03-14,782.8,790.0,757.0,764.0,-1.67,136733.0,104824125.2,2023,39.65,19.8,17.58,30.53
2023-03-15,772.0,772.0,739.0,748.0,-2.09,138593.0,103522033.1,2023,39.65,19.8,17.58,30.53
2023-03-16,755.0,755.0,736.1,750.0,0.27,66560.0,49492619.8,2023,39.65,19.8,17.58,30.53
2023-03-19,755.0,755.0,739.0,742.0,-1.07,53939.0,40084482.0,2023,39.65,19.8,17.58,30.53
2023-03-20,749.0,749.0,731.1,738.0,-0.54,84134.0,61995922.8,2023,39.65,19.8,17.58,30.53
2023-03-22,740.1,740.1,721.0,723.0,-2.03,113311.0,82495494.5,2023,39.65,19.8,17.58,30.53
2023-03-23,729.0,729.0,666.5,686.0,-5.12,314524.0,217464868.1,2023,39.65,19.8,17.58,30.53
2023-03-26,686.0,697.9,680.0,687.0,0.15,115245.0,79519557.9,2023,39.65,19.8,17.58,30.53
2023-03-27,680.0,695.0,675.3,695.0,1.16,57816.0,39597344.5,2023,39.65,19.8,17.58,30.53
2023-03-28,708.0,708.0,688.0,689.0,-0.86,62508.0,43673517.3,2023,39.65,19.8,17.58,30.53
2023-03-29,690.0,694.0,687.0,689.0,0.0,51749.0,35695866.1,2023,39.65,19.8,17.58,30.53
2023-03-30,700.0,700.0,689.0,690.8,0.26,30902.0,21357616.1,2023,39.65,19.8,17.58,30.53
2023-04-02,703.0,719.1,689.0,692.0,0.17,72783.0,50562485.3,2023,39.65,19.8,17.58,30.53
2023-04-03,704.9,704.9,686.0,690.0,-0.29,42504.0,29319710.1,2023,39.65,19.8,17.58,30.53
2023-04-04,700.0,700.0,685.0,696.6,0.96,47314.0,32814535.8,2023,39.65,19.8,17.58,30.53
2023-04-05,699.0,700.0,691.0,696.2,-0.06,26748.0,18613374.6,2023,39.65,19.8,17.58,30.53
